number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
186,T320,"เต้าฮวย, ชนิดแคลเซียมสูง","Soybean curd, soft (Tau-huay), high calcium",Glycine max,0.77,142,-,4.95,-,-,-,-,-,-,2.04,-,-,-,-,-,0.23,-,89.9,0.81,34,101,2.35,-,0.03,34,-,0.04,48,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1630&name=Soybean curd, soft (Tau-huay), high calcium"
187,T396,"ถั่วเขียว, เมล็ด, ต้มน้ำตาล","Mungbean, mature seeds, boiled, added sugar",Vigna radiata,0.45,16,24.23,-,-,-,-,2.2,-,114,0.15,-,-,-,-,-,0.50,-,70.1,-,-,-,2.90,-,0.00,7,20.83,0.07,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1631&name=Mungbean, mature seeds, boiled, added sugar"
188,T263,"ทองม้วน, รวมรสหวาน แยกรสหวานออกมาจากรสต่างๆ",Tong-muan,-,1.93,38,71.50,-,-,-,-,0.9,-,481,19.67,-,-,-,-,-,1.80,-,2.1,-,-,-,3.98,-,0.03,236,38.90,0.55,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1632&name=Tong-muan
189,T262,"ทองม้วน, รสต่างๆ",Tong-muan,-,1.90,39,71.81,-,26,-,-,1.3,-,471,18.02,-,-,-,-,13.98,1.75,-,2.2,-,-,-,4.78,-,0.03,292,32.71,0.47,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1633&name=Tong-muan
190,T141,ทองหยอด,"Thong-yodd (golden dropped, egg yolk dropped in heavy syrup)",-,0.40,52,49.30,-,-,-,-,0.6,-,336,13.40,-,-,-,-,-,0.20,-,31.4,0.50,92,-,4.30,83,0.26,-,-,0.19,-,83,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1634&name=Thong-yodd (golden dropped, egg yolk dropped in heavy syrup)"
191,T142,ทองหยิบ,"Thong-yip (egg yolk sheeted in heavy syrup, cupped)",-,0.20,66,46.50,-,-,-,-,1.3,-,397,19.70,-,-,-,-,-,0.30,-,24.5,0.10,107,-,7.80,201,0.31,-,-,0.24,-,201,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1635&name=Thong-yip (egg yolk sheeted in heavy syrup, cupped)"
192,T264,น้ำกะทิใส่น้ำเชื่อม,Coconut milk with syrup,-,1.17,-,31.30,-,-,-,-,0.0,-,196,7.60,-,-,-,-,-,-,-,59.2,-,-,-,0.70,-,-,212,29.40,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1636&name=Coconut milk with syrup
193,T265,เผือกกวน,Taro pudding,-,1.25,-,-,42.20,0,-,-,-,-,-,8.40,1.52,0.03,0.22,0.26,6.20,-,-,45.6,-,-,398,2.60,-,-,24,25.15,-,255,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1637&name=Taro pudding
194,T158,เม็ดขนุน,Med khanun (mock jackfruit seeds),-,0.93,116,36.01,-,236,-,-,3.6,-,304,12.80,4.57,0.49,1.86,2.36,5.59,0.30,-,37.2,0.20,210,216,9.45,20,0.36,28,23.15,0.18,-,21,-,-,13,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1638&name=Med khanun (mock jackfruit seeds)
195,T323,"เยลลี่คาราจีแนน, ผสมบุก, น้ำผลไม้รสต่างๆ 15%, พร้อมวุ้นมะพร้าว","Jelly caragenan, mixed with elephant yam and nata de coco, in 15% fruit juice, different flavours",-,0.50,-,31.20,-,-,-,-,0.3,-,125,0.00,-,-,-,-,-,-,-,68.0,-,-,-,0.00,-,-,38,31.50,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1639&name=Jelly caragenan, mixed with elephant yam and nata de coco, in 15% fruit juice, different flavours"
196,T321,"เยลลี่คาราจีแนน, ผสมบุกและน้ำผลไม้รสต่างๆ 10%","Jelly caragenan, mixed with elephant yam, in 10% fruit juice, different flavours",-,0.17,-,9.05,-,-,-,-,0.2,-,37,0.00,-,-,-,-,-,-,-,90.6,-,-,-,0.00,-,-,23,8.62,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1640&name=Jelly caragenan, mixed with elephant yam, in 10% fruit juice, different flavours"
197,T322,"เยลลี่คาราจีแนน, ผสมบุกและน้ำผลไม้รสต่างๆ 20%","Jelly caragenan, mixed with elephant yam, in 20% fruit juice, different flavours",-,0.20,-,24.53,-,-,-,-,0.2,-,99,0.00,-,-,-,-,-,-,-,75.1,-,-,-,0.00,-,-,16,22.95,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1641&name=Jelly caragenan, mixed with elephant yam, in 20% fruit juice, different flavours"
198,T163,ลอดช่องน้ำกะทิ,Lod-chong in coconut milk,-,0.50,4,22.68,-,-,-,-,1.5,-,130,3.64,-,-,-,-,-,-,-,70.9,0.60,19,-,0.79,-,-,-,-,0.02,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1642&name=Lod-chong in coconut milk
199,T273,ลูกชุบ,Luk chup (fruit-shape desserts made of mung-bean flour with natural colouring),-,0.53,7,21.13,-,-,-,-,1.8,-,111,1.10,0.13,0.04,0.13,0.16,0.78,0.60,-,72.2,-,-,-,3.27,-,0.01,83,-,0.04,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1643&name=Luk chup (fruit-shape desserts made of mung-bean flour with natural colouring)
200,T274,ลูกเดือยน้ำกะทิ,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1644&name=
201,T151,"ลูกตาล, เชื่อม",Toddy palm in heavy syrup,-,0.47,-,59.16,-,-,-,-,0.0,-,243,0.10,-,-,-,-,-,-,-,38.8,-,-,-,1.47,-,-,-,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1645&name=Toddy palm in heavy syrup
202,T150,วุ้นกะทิใบเตย,"Wun-ka-thi (Jelly with coconut cream, pandanus leaves flavoured)",-,0.70,1,20.60,-,-,-,-,0.0,-,132,5.30,-,-,-,-,-,0.00,-,72.8,0.10,18,-,0.60,-,0.00,-,-,0.00,-,1,-,-,10,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1646&name=Wun-ka-thi (Jelly with coconut cream, pandanus leaves flavoured)"
203,T275,วุ้นตาล,Toddy palm jelly,-,-,-,8.50,-,-,-,-,0.0,-,35,0.03,-,-,-,-,-,-,64,90.8,-,-,-,0.10,-,-,-,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1647&name=Toddy palm jelly
204,T276,วุ้นใบเตย,Pandanus Jelly,-,0.35,-,14.25,-,0,-,-,0.0,-,93,3.80,0.66,0.03,0.66,0.69,2.30,-,-,81.3,-,-,52,0.35,-,-,46,12.55,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1648&name=Pandanus Jelly
205,T325,"วุ้นมะพร้าว, ผสมถั่วแดง, แห้ว, เนื้อมะพร้าวในน้ำเชื่อม","Nata de coco, mixed with red kidney bean and  water chestnut in syrup",-,0.20,6,27.50,-,-,-,-,1.7,-,118,0.20,-,-,-,-,-,0.20,-,69.6,-,-,-,0.80,-,-,15,24.50,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1649&name=Nata de coco, mixed with red kidney bean and  water chestnut in syrup"
206,T324,วุ้นมะพร้าวในน้ำเชื่อม,Nata de coco in syrup,-,0.04,1,26.46,-,-,-,-,0.4,-,107,0.00,-,-,-,-,-,0.15,-,73.1,-,-,-,0.00,-,-,3,25.30,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1650&name=Nata de coco in syrup
207,T277,วุ้นมะพร้าวอ่อน,Young coconut jelly,-,0.90,13,13.63,-,0,-,-,1.3,-,127,7.47,1.76,0.01,1.49,1.51,6.00,0.25,-,78.3,1.00,-,204,0.72,-,-,68,13.63,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1651&name=Young coconut jelly
208,T147,สังขยา,"Sangkhaya (egg custard, steamed)",-,0.63,160,25.83,-,174,-,-,3.8,-,207,8.40,2.67,0.13,1.09,1.22,4.11,0.60,-,56.3,1.10,39,81,5.07,0,0.15,58,25.80,0.03,-,1,-,-,10,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1652&name=Sangkhaya (egg custard, steamed)"
209,T278,สังขยาใบเตย,"Sangkhaya bai teoy (egg custard, with pandanus leaf, steamed)",-,0.75,-,26.80,-,120,-,-,0.0,-,267,15.55,3.71,0.10,2.45,2.55,7.98,-,-,52.0,-,-,158,4.90,-,-,70,22.45,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1653&name=Sangkhaya bai teoy (egg custard, with pandanus leaf, steamed)"
210,T279,สังขยาฟักทอง,"Sangkhaya fuk tong (egg custard, with pandanus leaf, steamed in pumpkin",-,1.10,38,27.30,-,-,-,-,0.4,-,210,8.80,-,-,-,-,-,1.10,-,57.2,-,-,-,5.20,-,-,119,26.10,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1654&name=Sangkhaya fuk tong (egg custard, with pandanus leaf, steamed in pumpkin"
211,T280,สาคูถั่วดำ,Sago & Black Bean in Coconut Syrup,-,0.87,8,19.61,-,1,-,-,2.5,-,138,5.08,0.36,0.03,0.12,0.16,4.04,0.73,-,69.7,-,-,-,2.25,-,0.00,138,13.20,0.02,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1655&name=Sago & Black Bean in Coconut Syrup
212,T234,กรอบเค็ม,"Krob-kem (small pieces of pastry, slightly sweetened and salted)",-,2.30,29,58.60,-,-,-,-,2.6,-,480,23.90,-,-,-,-,-,1.20,-,6.2,-,-,-,6.40,-,0.01,347,26.30,0.44,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1656&name=Krob-kem (small pieces of pastry, slightly sweetened and salted)"
213,T235,"กระยาสารท, รสต่างๆ","Kra-ya-sart (Thai sweet made of rice, nut, sesame-seeds and sugar), different flavours",-,1.66,29,49.56,-,27,-,-,2.4,-,524,31.37,-,-,-,-,17.50,2.73,-,5.4,-,-,-,9.55,-,0.02,83,21.85,0.07,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1657&name=Kra-ya-sart (Thai sweet made of rice, nut, sesame-seeds and sugar), different flavours"
214,T326,"กล้วย, ทอด","Banana, deep fried",Musa sp.,3.30,20,57.60,-,-,-,-,4.0,-,524,30.80,-,-,-,-,-,0.90,-,2.2,-,-,-,2.10,-,0.00,352,3.00,0.01,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1658&name=Banana, deep fried"
215,T327,"กล้วย, อบ","Banana, baked",Musa sp.,2.65,17,69.02,-,-,-,-,4.6,-,462,19.00,-,-,-,-,-,1.02,-,3.3,-,-,-,1.40,-,-,209,14.45,0.03,-,8,-,-,101,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1659&name=Banana, baked"
216,T328,"กล้วยพันธุ์ต่างๆ, อบกรอบ, รสธรรมชาติ","Banana, different varieties, crispy, original flavour",Musa sp.,3.32,-,69.62,-,-,-,-,7.3,-,435,14.23,-,-,-,-,-,1.00,-,2.1,-,-,-,3.48,-,-,28,52.42,-,-,-,7,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1660&name=Banana, different varieties, crispy, original flavour"
217,T329,"กล้วยหอม, ทอดกรอบ, รสต่างๆ","Banana, crispy fried, different flavour",Musa sp.,3.30,-,47.10,-,-,-,-,4.5,-,570,40.10,-,-,-,-,-,-,-,2.2,-,-,-,2.90,-,-,306,14.50,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1661&name=Banana, crispy fried, different flavour"
218,T241,"ขนมจีบ, กุ้ง",Ka-nom-jeep-kung (Chinese steamed prawn dumplings),-,2.20,20,11.82,-,-,-,-,1.5,-,189,10.40,-,-,-,-,-,0.35,-,62.8,-,-,-,11.30,-,-,521,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1662&name=Ka-nom-jeep-kung (Chinese steamed prawn dumplings)
219,T242,"ขนมจีบ, ไก่",Ka-nom-jeep-gai (Chinese steamed chicken dumplings),-,2.23,-,23.90,-,14,-,-,0.0,-,163,3.90,1.38,0.06,0.71,0.78,1.57,0.90,-,62.0,-,-,-,7.97,-,-,401,-,-,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1663&name=Ka-nom-jeep-gai (Chinese steamed chicken dumplings)
220,T243,"ขนมจีบ, หมูสับ",Ka-nom-jeep-moo-sub (Chinese steamed minced pork dumplings),-,1.27,8,8.38,-,-,-,-,1.2,-,119,6.85,-,-,-,-,-,0.70,-,76.8,-,-,-,5.43,3,0.01,253,-,0.55,-,3,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1664&name=Ka-nom-jeep-moo-sub (Chinese steamed minced pork dumplings)
221,T245,"ขนมโตเกียว, หมูสับ","Ka-nom-tokyo (pancakes wrapped with minced pork, Thai style)",-,1.17,24,13.97,-,-,-,-,0.0,-,122,4.67,1.80,0.12,0.81,0.94,1.72,0.93,-,74.2,-,-,-,5.97,112,0.13,192,4.50,0.11,-,112,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1665&name=Ka-nom-tokyo (pancakes wrapped with minced pork, Thai style)"
222,T250,"ขนมเบื้อง, ครีม, ไส้เค็ม","Ka-nom-buang-cream-sai-khem (crispy rice flour sheet with cream, prawn and grated coconut filling)",-,1.57,13,71.03,-,-,0.19,-,1.8,-,368,6.90,-,-,-,-,-,1.60,-,14.2,-,-,-,4.53,-,-,175,-,-,-,-,-,0.63,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1666&name=Ka-nom-buang-cream-sai-khem (crispy rice flour sheet with cream, prawn and grated coconut filling)"
223,T251,"ขนมเบื้อง, ครีม, ไส้หวาน","Ka-nom-buang-cream-sai-wan (crispy rice flour sheet with cream, gold thread, egg yolk strained in heavy syrup and grated coconut filling)",-,1.29,-,62.42,-,-,0.20,-,2.3,-,370,9.56,-,-,-,-,-,-,-,16.9,-,-,-,7.53,114,-,93,45.20,-,-,114,-,1.20,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1667&name=Ka-nom-buang-cream-sai-wan (crispy rice flour sheet with cream, gold thread, egg yolk strained in heavy syrup and grated coconut filling)"
224,T252,"ขนมเบื้องไทย, ไส้เค็ม",Ka-nom buang Thai sai khem (crispy rice flour sheet with prawn and grated coconut filling),-,1.75,52,-,40.78,-,-,-,-,-,-,20.90,-,-,-,-,-,2.53,-,29.0,-,-,-,7.57,-,-,244,-,-,382,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1668&name=Ka-nom buang Thai sai khem (crispy rice flour sheet with prawn and grated coconut filling)
225,T330,"ขนุน, อบกรอบ","Jackfruit, crispy baked",Artocarpus heterophyllus,3.95,67,66.15,-,-,-,-,8.5,-,413,11.65,-,-,-,-,-,1.30,-,3.0,-,-,-,6.75,-,0.11,25,51.35,0.53,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1669&name=Jackfruit, crispy baked"
226,T254,ข้าวเกรียบปากหม้อไส้หมู,"Khao-kriab-pak-mor sai-moo (steamed rice skin dumplings, minced pork filled)",-,0.53,9,-,15.90,-,-,-,-,-,-,3.83,-,-,-,-,-,0.63,-,77.6,-,-,-,2.17,-,0.00,102,5.37,0.14,107,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1670&name=Khao-kriab-pak-mor sai-moo (steamed rice skin dumplings, minced pork filled)"
227,T202,ข้าวซอยตัด,Northern style snack bar (Khao-soi bar),-,0.67,-,57.00,-,-,-,-,1.7,-,506,27.53,-,-,-,-,-,-,-,6.4,-,-,-,6.70,-,-,112,18.00,0.02,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1671&name=Northern style snack bar (Khao-soi bar)
228,T255,ข้าวต้มมัด,Kao-tom-mud (steamed glutinous rice with black bean and banana filling),-,0.80,-,-,42.80,-,-,-,-,-,-,3.75,-,-,-,-,-,-,-,49.6,-,-,183,3.05,-,-,142,14.40,-,217,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1672&name=Kao-tom-mud (steamed glutinous rice with black bean and banana filling)
229,T256,ข้าวต้มมัดญวน (ไส้ถั่วและหมู),Kao-tom-mud-Veitnam (steamed glutinous rice with pork and mungbean),-,0.70,-,33.60,-,-,-,-,0.5,-,194,4.15,-,-,-,-,-,0.50,-,55.8,-,-,-,5.30,-,0.01,167,0.50,0.08,-,-,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1673&name=Kao-tom-mud-Veitnam (steamed glutinous rice with pork and mungbean)
230,T331,"ข้าวตัง, หน้าต่างๆ","Rice, dried, deep-fried, with different topping",Oryza sativa,2.00,86,58.85,-,-,-,-,0.9,-,517,27.75,-,-,-,-,-,1.65,-,3.1,-,-,-,7.48,-,0.09,436,20.73,0.04,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1674&name=Rice, dried, deep-fried, with different topping"
231,T332,ข้าวแต๋น (ไม่มีหน้า),Rice cracker (Khaotan-OTOP product),Oryza glutinosa,1.40,13,66.23,-,0,0.10,-,1.2,100.000,510,24.41,7.08,0.02,1.56,1.58,12.10,0.40,4,1.1,-,43,-,5.62,-,-,400,0.60,-,-,0,-,1.12,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1675&name=Rice cracker (Khaotan-OTOP product)
232,T333,"ข้าวแต๋น, รสสาหร่าย","Rice cracker (Khaotan), topped with seaweed",-,2.60,-,65.20,-,-,-,-,0.9,-,503,24.40,-,-,-,-,10.11,0.50,-,1.6,-,-,-,5.30,-,-,604,4.90,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1676&name=Rice cracker (Khaotan), topped with seaweed"
233,T334,"ข้าวแต๋น, หน้าธัญพืช","Rice cracker (Khaotan), topped with mixed cereals and seeds",-,1.55,17,61.05,-,-,-,-,2.1,-,484,22.65,-,-,-,-,-,1.60,-,4.8,-,-,-,7.85,-,0.03,300,19.80,0.06,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1677&name=Rice cracker (Khaotan), topped with mixed cereals and seeds"
234,T335,"ข้าวแต๋น, หน้าน้ำตาล (นางเล็ต) รสหวาน","Rice cracker (Khaotan), topped with concentrated cane sugar",-,1.70,-,66.40,-,0,-,-,1.3,-,488,22.00,-,-,-,-,8.53,0.80,-,3.2,-,-,-,5.40,-,-,363,16.20,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1678&name=Rice cracker (Khaotan), topped with concentrated cane sugar"
235,T336,"ข้าวแต๋น, หน้าหมูหยอง","Rice cracker (Khaotan), topped with dried pork",-,1.90,12,66.70,-,-,-,-,0.8,-,448,16.20,-,-,-,-,-,0.70,-,6.0,-,-,-,8.40,-,0.05,571,17.80,0.03,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1679&name=Rice cracker (Khaotan), topped with dried pork"
236,T337,ข้าวแต๋นน้ำแตงโม,"Rice cracker (Khaotan), water melon flavoured",-,1.50,-,66.20,-,-,-,-,1.5,-,492,22.70,-,-,-,-,-,0.30,-,3.1,-,-,-,5.10,-,-,378,7.90,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1680&name=Rice cracker (Khaotan), water melon flavoured"
237,T338,"ข้าวแผ่น, ทอดกรอบ, รสต่างๆ","Rice, chip, fried, with different flavours",Oryza sativa,2.00,18,59.02,-,-,-,-,3.5,-,525,28.85,-,-,-,-,-,1.82,-,1.1,-,-,-,5.53,-,0.03,274,0.90,0.14,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1681&name=Rice, chip, fried, with different flavours"
238,T339,"ข้าวโพดทอดกรอบ, ปรุงรส, กลิ่นต่างๆ","Corn snack, fried, seasoned, different flavours",-,1.90,27,54.12,-,-,-,-,1.3,100.000,568,36.55,-,-,-,-,-,1.10,-,1.2,-,-,-,4.99,-,0.03,463,1.35,0.78,-,0,0,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1682&name=Corn snack, fried, seasoned, different flavours"
239,T340,"ข้าวโพดอบกรอบ, ปรุงรส, กลิ่นต่างๆ","Corn puff, snack, seasoned, different flavours",-,2.27,38,56.01,-,-,-,-,0.8,100.000,555,34.07,-,-,-,-,-,1.54,-,1.0,-,-,-,5.78,-,-,596,5.70,0.00,-,-,0,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1683&name=Corn puff, snack, seasoned, different flavours"
240,T341,"ข้าวโพดอบกรอบ, รสต่างๆ","Corn puff snack, different flavours",-,1.32,12,68.07,-,-,-,-,2.1,100.000,492,22.13,-,-,-,-,-,1.20,-,2.2,-,-,-,4.21,-,0.01,408,22.40,0.09,-,-,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1684&name=Corn puff snack, different flavours"
241,T257,"ข้าวเหนียวปิ้ง, ไส้กล้วย","Khao-niao-ping (sticky rice mixed with coconut milk, filled with banana, wrapped in banana leaf, grilled)",-,1.40,-,47.83,-,-,-,-,1.6,-,232,2.90,-,-,-,-,-,-,-,43.5,-,-,-,2.80,-,-,210,4.80,-,-,1,-,-,8,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1685&name=Khao-niao-ping (sticky rice mixed with coconut milk, filled with banana, wrapped in banana leaf, grilled)"
242,T258,"ข้าวเหนียวปิ้ง, ไส้เผือก","Khao-niao-ping (sticky rice mixed with coconut milk, filled with taro, wrapped in banana leaf, grilled)",-,1.45,15,-,49.35,-,-,-,-,-,-,4.55,-,-,-,-,-,0.60,-,41.9,-,-,-,2.80,-,-,224,3.45,-,250,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1686&name=Khao-niao-ping (sticky rice mixed with coconut milk, filled with taro, wrapped in banana leaf, grilled)"
243,T259,"ข้าวเหนียวปิ้ง, ไส้มัน","Khao-niao-ping (sticky rice mixed with coconut milk, filled with sweet potato, wrapped in banana leaf, grilled)",-,1.20,14,-,50.95,-,-,-,-,-,-,4.25,-,-,-,-,-,-,-,41.2,-,-,-,2.45,-,-,216,1.35,-,252,8,-,-,92,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1687&name=Khao-niao-ping (sticky rice mixed with coconut milk, filled with sweet potato, wrapped in banana leaf, grilled)"
244,T342,"งาและเมล็ดทานตะวัน, ผสมน้ำผึ้ง, แผ่น","Sesame and sunflower, seeds, honey mixed biscuit",Sesanum indicum and Helianthus annuus,2.70,206,23.60,-,-,-,-,9.6,-,598,45.80,-,-,-,-,-,3.57,-,0.2,-,-,-,18.10,-,0.05,52,16.90,0.06,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1688&name=Sesame and sunflower, seeds, honey mixed biscuit"
245,T343,"เต้าหู้, ทอด","Soybean curd (tofu), fried",Glycine max,5.70,476,-,3.65,-,-,-,-,-,-,33.29,-,-,-,-,-,9.10,-,31.1,0.64,456,241,26.26,-,0.06,963,-,0.05,419,-,-,-,0,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1690&name=Soybean curd (tofu), fried"
246,T344,"ถั่วปากอ้า, ทอด, คลุกเกลือ, เอาเปลือกออก, จากตลาด","Broad bean, deepfried, salted, dehulled, vendor packed",Vicia faba,3.43,55,35.20,-,0,-,-,9.6,-,467,21.61,7.95,0.05,2.64,2.68,9.90,6.73,76,2.0,1.78,-,963,28.18,-,0.10,359,1.09,0.21,-,-,-,4.43,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1691&name=Broad bean, deepfried, salted, dehulled, vendor packed"
