number,food_code,thai_name,english_name,scientific_name,Ash (g),Calcium (mg),"Carbohydrate, available (g)","Carbohydrate, total (g)",Cholesterol (mg),Copper (mg),Density (g/mL),Dietary fibre (g),Edible portion (%),"Energy, by calculation (kcal)","Fat, total (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total omega-3 polyunsaturated (g)","Fatty acids, total omega-6 polyunsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)",Iron (mg),Magnesium (mg),Moisture (g),Niacin (mg),Phosphorus (mg),Potassium (mg),"Protein, total (g)",Retinol (mcg),Riboflavin (mg),Sodium (mg),"Sugars, total (g)",Thiamin (mg),Total energy - by calculation (kcal),Vitamin A; retinol activity equivalent (mcg),Vitamin C (mg),Zinc (mg),b-carotene (mcg),detail_url
34,T296,แกงอ่อมปลา,"Soup, spicy (Gaeng Oom) with fish, northen style",-,2.50,245,-,0.00,-,-,-,-,-,-,3.80,-,-,-,-,-,1.80,-,89.0,1.70,119,-,4.70,0,0.11,-,-,0.04,53,38,-,-,462,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1478&name=Soup, spicy (Gaeng Oom) with fish, northen style"
35,T297,แกงฮังเล,"Curry, Hung-le, northern style",-,2.50,49,5.30,-,-,-,-,2.8,-,215,16.00,-,-,-,-,-,1.10,-,62.3,2.70,82,-,11.10,0,0.22,-,-,0.16,-,5,-,-,63,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1479&name=Curry, Hung-le, northern style"
36,T298,ไก่ผัดเครื่องแกงสะตอ,"Stink bean fried with  chilli paste, chicken",-,2.70,35,3.10,-,-,-,-,1.5,-,123,2.40,-,-,-,-,-,0.60,-,68.7,-,368,-,21.60,-,-,649,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1480&name=Stink bean fried with  chilli paste, chicken"
37,T193,ไก่อบซอส,"Chicken, baked, with sauce",-,2.37,16,12.07,-,26,-,-,2.4,-,127,4.37,1.35,0.06,0.43,0.49,2.35,0.40,-,70.2,-,-,318,8.57,10,0.02,397,7.10,0.07,-,10,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1481&name=Chicken, baked, with sauce"
38,T69,ซอสปรุงสำเร็จสำหรับสปาเก็ตตี้,Spaghetti sauce,-,3.24,23,9.65,-,-,-,-,0.7,-,101,4.91,-,-,-,-,-,0.81,-,77.3,-,-,-,4.18,10,0.06,642,5.36,0.05,-,10,-,-,-,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1482&name=Spaghetti sauce
39,T71,ซุปฟัก,"Soup, wax gourd",-,1.10,-,0.00,-,-,-,-,0.0,-,10,0.00,-,-,-,-,-,-,-,97.2,-,-,-,2.50,-,-,-,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1483&name=Soup, wax gourd"
40,T299,ซุปมะเขือ,"Soup, Brinjal eggplants",-,1.70,43,1.90,-,-,-,-,2.8,-,63,2.10,-,-,-,-,-,1.20,-,83.9,-,218,-,7.60,-,-,307,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1484&name=Soup, Brinjal eggplants"
41,T73,ซุปหน่อไม้,"Bamboo shoot salad, northeastern style",-,2.64,207,-,4.30,-,-,-,-,-,-,0.53,-,-,-,-,-,1.30,-,89.7,0.65,30,-,2.80,-,0.20,-,-,-,33,-,1,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1485&name=Bamboo shoot salad, northeastern style"
42,T210,ซุปหางวัว,"Soup, beef tail",-,1.87,-,-,4.70,32,-,-,0.0,-,-,3.60,1.36,0.02,0.07,0.10,1.97,0.93,-,81.4,-,-,-,8.43,-,-,379,-,-,85,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1486&name=Soup, beef tail"
43,T74,ซุปหูฉลาม,"Soup, shark fin",-,1.01,12,1.76,-,-,-,-,0.3,-,31,0.19,-,-,-,-,-,0.48,-,91.4,-,-,-,5.31,-,-,226,0.65,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1487&name=Soup, shark fin"
44,T300,ต้มไก่ใบกระเจี๊ยบ,"Soup, Roselle leaves, chicken",-,0.70,32,1.10,-,-,-,-,1.1,-,49,0.50,-,-,-,-,-,0.52,-,87.1,-,130,-,9.50,-,-,103,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1488&name=Soup, Roselle leaves, chicken"
45,T211,ต้มข่าไก่,"Soup, coconut milk with galangal, chicken (Tom-kha-gai)",-,1.57,10,1.42,-,16,-,-,0.9,-,92,5.89,1.27,0.03,1.19,1.22,3.39,0.70,-,82.5,-,-,300,7.80,-,-,244,0.57,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1489&name=Soup, coconut milk with galangal, chicken (Tom-kha-gai)"
46,T226,"ต้มพะโล้, รวม","Five spices soup, mixed",-,2.82,-,14.13,-,15,-,-,1.6,-,133,4.23,1.13,0.13,1.60,1.73,1.18,-,-,68.3,-,-,340,8.90,-,-,416,5.54,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1490&name=Five spices soup, mixed"
47,T212,"ต้มยำ, กุ้ง","Soup, spicy (hot and sour), shrimp (Tom-yum-goong)",-,2.64,45,2.86,-,42,0.21,-,0.7,-,44,1.43,-,-,-,-,0.55,0.42,20,87.7,-,75,152,4.67,15,-,521,2.08,-,-,19,1,0.73,46,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1491&name=Soup, spicy (hot and sour), shrimp (Tom-yum-goong)"
48,T213,"ต้มยำ, ไก่","Soup, spicy (hot and sour), chicken (Tom-yum-gai)",-,1.67,-,0.50,-,18,-,-,1.3,-,41,0.37,0.12,0.02,0.09,0.10,0.12,-,-,88.0,-,-,279,8.20,-,-,230,0.57,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1492&name=Soup, spicy (hot and sour), chicken (Tom-yum-gai)"
49,T301,ต้มยำปลาดุก,"Soup, spicy ( hot and sour) with catfish",-,1.00,12,1.10,-,-,-,-,1.1,-,57,2.20,-,-,-,-,-,0.20,-,87.0,-,173,-,7.60,-,-,143,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1493&name=Soup, spicy ( hot and sour) with catfish"
50,T215,"ทอดมัน, กุ้ง","Fried shrimp cake, (Tod-man-goong)",-,2.60,-,9.17,-,-,-,-,0.0,-,247,16.78,-,-,-,-,-,1.77,-,56.7,-,-,-,14.80,-,-,473,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1494&name=Fried shrimp cake, (Tod-man-goong)"
51,T214,"ทอดมัน, ปลา",Fried fish cake (Tod-man-pla),-,3.35,130,4.80,-,42,0.10,-,4.1,-,174,9.88,3.03,-,-,1.75,3.82,1.97,41,63.6,1.32,146,408,14.38,-,0.15,516,-,0.04,-,11,2,0.52,131,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1495&name=Fried fish cake (Tod-man-pla)
52,T217,"น้ำซุป, ไก่","Soup, chicken bone",-,0.23,2,1.64,-,-,-,-,0.0,-,23,1.50,-,-,-,-,-,0.10,-,95.9,-,-,-,0.71,-,-,31,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1496&name=Soup, chicken bone"
53,T216,"น้ำซุป, ขาตั้งหมู","Soup, pork leg (without feet)",-,0.23,3,0.00,-,-,-,-,0.0,-,5,0.23,-,-,-,-,-,0.20,-,98.9,-,-,-,0.70,-,-,39,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1497&name=Soup, pork leg (without feet)"
54,T303,น้ำพริกอ่อง,Nam-prik-ong,-,3.00,38,0.00,-,-,-,-,4.1,-,204,19.60,-,-,-,-,-,1.50,-,68.4,2.60,79,-,6.90,0,0.15,-,-,0.25,-,30,-,-,357,https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1498&name=Nam-prik-ong
55,T302,เนื้อสะเต๊ะ,"Beef, satay",Bos taurus,1.77,-,18.83,-,66,-,-,0.0,-,345,22.63,7.63,0.11,0.51,0.63,13.41,2.77,-,40.3,-,-,-,16.47,-,-,223,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1499&name=Beef, satay"
56,T304,"เป็ด, ลิ้น, ทรงเครื่อง","Duck, tongue, stewed in chineses herb gravy/fried, special flavour topping",Anas platyrhyncha,2.80,92,6.50,-,-,-,-,0.0,-,155,10.60,-,-,-,-,-,0.60,-,71.7,-,-,-,8.40,-,-,634,-,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1500&name=Duck, tongue, stewed in chineses herb gravy/fried, special flavour topping"
57,T305,"เป็ด, ไส้, ทอดกรอบ","Duck, intestine, deep fried",-,5.30,52,1.90,-,-,-,-,0.0,-,529,31.20,-,-,-,-,-,3.30,-,2.2,-,-,-,60.20,-,0.23,"1,682",1.90,0.07,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1501&name=Duck, intestine, deep fried"
58,T222,ผัดเปรี้ยวหวานไก่,"Sweet and sour sauce, stir fried, chicken (Pad-priew-wan-gai)",-,1.85,-,14.11,-,8,-,-,1.9,-,95,1.85,0.47,0.08,0.88,0.96,0.33,-,-,75.8,-,-,242,4.45,-,-,345,13.21,-,-,22,2,-,270,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1502&name=Sweet and sour sauce, stir fried, chicken (Pad-priew-wan-gai)"
59,T224,ผัดเผ็ดไก่,"Stir-fried, chicken with red curry paste",-,2.70,52,4.37,-,30,-,-,5.5,-,133,5.53,1.28,0.28,2.73,3.02,1.22,2.60,-,68.9,-,-,518,13.77,0,-,408,4.37,-,-,-,-,-,-,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1503&name=Stir-fried, chicken with red curry paste"
60,T223,ผัดเผ็ดถั่วฝักยาว,"Stir-fried, long bean with red curry paste",-,3.21,26,2.83,-,61,0.09,-,3.0,-,127,2.70,-,-,-,-,1.22,2.58,44,66.9,-,167,342,21.34,-,0.07,563,0.07,0.11,-,17,2,0.84,205,"https://inmu.mahidol.ac.th/thaifcd//foodsearch/food_name/?dbcode=STD&food_group_id=84&id=1504&name=Stir-fried, long bean with red curry paste"
